"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,general_information,,text,"Record ID",,,,,,,,,,,,,
family_id,general_information,,text,"Family ID",,,,,,,,,,,,,
sample_exist,general_information,,radio,"Sample existing","1, Yes, in Tuebingen | 3, Yes, elsewhere | 2, No",,,,,,,y,,,,,
sample_location,general_information,,notes,"Sample location",,"from where we can get a sample",,,,,"[sample_exist] = '3'",,RH,,,,
sample_id_01,general_information,,text,"DNA-Sample ID",,,,,,,"[sample_exist] = '1' or [sample_exist] = '3'",,,,,,
sample_id_02,general_information,,text,"DNA-Sample ID 02",,"If a second DNA-Sample of this person exists, please enter here.",,,,,"[sample_exist] = '1' or [sample_exist] = '3'",,,,,,
sample_id_03,general_information,,text,"DNA-Sample ID 03",,"If a further DNA-Sample of this person exists, please enter here.",,,,,"[sample_id_02] > """"",,,,,,
sample_id_04,general_information,,text,"DNA-Sample ID 04",,"If a further DNA-Sample of this person exists, please enter here.",,,,,"[sample_id_03] > """"",,,,,,
sample_id_05,general_information,,text,"DNA-Sample ID 05",,"If a further DNA-Sample of this person exists, please enter here.",,,,,"[sample_id_04] > """"",,,,,,
sample_id_06,general_information,,text,"DNA-Sample ID 06",,"If a further DNA-Sample of this person exists, please enter here.",,,,,"[sample_id_05] > """"",,,,,,
sample_id_07,general_information,,text,"DNA-Sample ID 07",,"If a further DNA-Sample of this person exists, please enter here.",,,,,"[sample_id_06] > """"",,,,,,
sample_id_08,general_information,,text,"DNA-Sample ID 08",,"If a further DNA-Sample of this person exists, please enter here.",,,,,"[sample_id_07] > """"",,,,,,
sample_case_origin,general_information,,dropdown,"Sample / Case origin","2, Augsburg / Dr. Johann Penzien | 3, Berlin / Dr. Karen Mueller-Schlueter | 4, Bethel / Dr. Anne Hofmann-Peters | 5, Duisburg / Dr. Gabriele Weber | 6, Essen / Dr. Gabriele Weber | 7, Filderstadt / Dr. Rene Madeleyn | 8, Freiburg / Prof. Andreas Schulze-Bonhage | 9, Freiburg / Prof. Rudolf Korinthenberg | 10, Goettingen / Prof. Knut Brockmann | 11, Heidelberg / Dr. Susanne Schubert-Bast | 12, Istanbul / Dr. Nerses Bebek | 13, Kleinwachau / Dr. Thomas Mayer | 14, Kork / PD Dr. Thomas Bast | 15, Kork / Prof. Bernhard Steinhoff | 16, Muenchen / Dr. Andrea Berger | 17, Muenchen / PD Dr. Christoph Schankin | 18, Muenchen / PD Dr. Ingo Borggraefe | 19, Muenster / Dr. Fiedler | 20, Muenster / Dr. Krois | 21, Muenster / Prof. Gerhard Kurlemann | 22, Ravensburg / Dr. Hartmut Baier | 23, RKU / Fee Becker | 24, Stuttgart / Dr. Dieter Dennig | 25, Tuebingen / Lerche | 26, Tuebingen Kinderklilnik / Dr. Markus Wolff | 27, Ulm / Lerche | 28, Ulm / Praxis Prof. Herbert Schreiber | 29, Vogtareuth / Prof. Gerhard Josef Kluger | 995, Other, please specify ! | 998, Unknown","Which person or center included the sample / case.",,,,y,,,,,,,
sample_origin_other,general_information,,text,"Sample origin other",,,,,,,"[sample_case_origin] = '995'",,,,,,
person_recruiting,general_information,,text,"Person recruiting",,,,,,,"[sample_case_origin] = '25'",,,,,,
gender,general_information,,dropdown,Gender,"1, Male | 2, Female | 998, Unknown | 995, Other",,,,,,,,,,,,
year_of_birth,general_information,,text,"Year of birth",,,year_nk,,,,,,,,,,
relationship,general_information,,dropdown,Relationship,"1, Index | 2, Mother | 3, Father | 4, Sister | 5, Brother | 6, Son | 7, Daughter | 8, Maternal Grandmother | 9, Maternal Grandfather | 10, Paternal Grandmother | 11, Paternal Grandfather | 12, Mother's Sister | 13, Mother's Brother | 14, Father's Sister | 15, Father's Brother | 16, Other, please specify !",,,,,,,y,,,,,
relationship_other,general_information,,notes,"Relationship other",,,,,,,"[relationship] = '17'",,,,,,
person_affected,general_information,,dropdown,"Person is affected","1, Yes | 2, No | 3, Migrain only | 4, Febrile seizures only | 5, Febrile seizures & migrain only | 998, Unknown",,,,,,,y,,,,,
hispanic_status,general_information,,radio,"Hispanic/Latino status","1, Hispanic or Latino origin | 2, Not of Hispanic or Latino origin | 998, Unknown | 4, Not reported",,,,,,,,,,,,
ethnicity,general_information,,checkbox,Ethnicity,"1, Native Hawaiian/other Pacific Islander | 2, Chinese | 3, Japanese | 4, Asian Other | 5, Black or African American | 6, Western European | 7, Eastern European | 8, Hispanic | 9, French Canadian | 10, Ashkenazi Jewish | 11, Sephardic Jewish | 12, Caucasian other, please specify | 13, Other/mixed ethnicities, please specify | 998, Unknown","Ethnicity category to be selected from list provided. The list of ethnicity categories contains the minimum acceptable categories as per the USA standards.",,,,,,,,,,,
ethnicity_comments,general_information,,text,"Ethnicity comments",,,,,,,,,,,,,
deceased,general_information,,dropdown,"Patient deceased","2, No|998, Unknown|1, Yes (SUDEP)|3, Yes (Other epilepsy related - status epilepticus, trauma)|6, Yes (Death unrelated to epilepsy)|9, Yes (Unknown causes)",,,,,,,,,,,,
deceased_age,general_information,,text,"Age at death",,,,,,,"[deceased] = '1' or [deceased] = '3' or [deceased] = '6' or [deceased] = '9'",,,,,,
first_recruitment,general_information,Consent,text,"Date of first recruitment",,"Day on which the first consent was signed (or alternatively the day on which the sample was taken)",date_ymd,,,,,,,,,,
consent_exist,general_information,,radio,"Consent form existing","1, Yes - Tuebingen consent form | 3, Yes - External consent form (not from Tuebingen) | 2, No consent form existing",,,,,,,,,,,,
valid_consent,general_information,,radio,"Tuebingen consent form is valid","1, Yes, valid | 2, Incomplete | 3, Withdrawn",,,,,,"[consent_exist] = '1'",,,,,,
